City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port hawkesbury,40,CA,1609710296,86,45.62,-61.35,-0.56,4.1
kodiak,20,US,1609709969,73,57.79,-152.41,-3.0,2.1
kerema,100,PG,1609710311,83,-7.96,145.78,26.52,4.22
khandyga,62,RU,1609710311,76,62.67,135.6,-46.4,0.13
touros,20,BR,1609709999,78,-5.2,-35.46,27.0,5.7
necochea,100,AR,1609709983,35,-38.55,-58.74,29.55,6.35
qaqortoq,100,GL,1609710003,68,60.72,-46.03,-3.0,2.1
nchelenge,77,ZM,1609710311,88,-9.35,28.73,20.4,1.21
bluff,78,NZ,1609709970,80,-46.6,168.33,14.44,3.58
nanning,13,CN,1609710311,76,22.82,108.32,11.0,1.0
beringovskiy,100,RU,1609709973,95,63.05,179.32,-10.8,11.73
albany,99,US,1609709969,84,42.6,-73.97,0.0,1.4
byron bay,75,AU,1609709689,83,-28.65,153.62,25.0,2.1
srednekolymsk,100,RU,1609710311,88,67.45,153.68,-27.68,2.84
saskylakh,78,RU,1609709974,79,71.92,114.08,-29.45,2.61
chuy,9,UY,1609709973,76,-33.7,-53.46,21.83,5.23
hermanus,40,ZA,1609709972,83,-34.42,19.23,21.67,3.13
cape town,0,ZA,1609709761,69,-33.93,18.42,23.0,5.7
ushuaia,75,AR,1609709969,100,-54.8,-68.3,8.0,14.9
adrar,0,MR,1609709969,26,20.5,-10.07,17.81,4.03
provideniya,0,RU,1609709982,86,64.38,-173.3,-20.12,9.94
porto uniao,44,BR,1609710087,94,-26.24,-51.08,17.67,1.33
vestmanna,94,FO,1609710312,100,62.16,-7.17,6.0,5.7
waidhofen,75,DE,1609710312,94,48.58,11.33,0.0,0.5
rabaul,93,PG,1609710312,74,-4.2,152.17,27.91,0.62
punta arenas,40,CL,1609709975,54,-53.15,-70.92,12.0,13.4
rikitea,21,PF,1609709967,80,-23.12,-134.97,25.64,7.37
payo,98,ID,1609710312,95,-3.75,103.64,22.21,0.7
georgetown,40,MY,1609709953,94,5.41,100.34,25.0,1.5
hasaki,75,JP,1609709972,62,35.73,140.83,0.0,0.5
severo-kurilsk,100,RU,1609709970,93,50.68,156.12,-4.98,11.68
bambous virieux,40,MU,1609709971,78,-20.34,57.76,25.0,5.1
magadan,100,RU,1609710312,89,59.57,150.8,-21.52,5.08
shalinskoye,100,RU,1609710312,89,55.72,93.76,-22.91,8.51
toba,75,JP,1609710312,60,34.48,136.85,6.0,7.7
gat,0,IL,1609710312,88,31.61,34.76,14.44,0.62
nome,1,US,1609709994,54,64.5,-165.41,-17.0,6.2
arraial do cabo,75,BR,1609709892,83,-22.97,-42.03,25.0,3.1
jamestown,90,US,1609709802,96,42.1,-79.24,2.22,3.1
ust-uda,100,RU,1609710313,89,54.17,103.03,-18.78,5.41
yellowknife,75,CA,1609709966,83,62.46,-114.35,-21.0,3.6
oussouye,0,SN,1609710313,88,12.48,-16.55,25.0,2.1
sao mateus do maranhao,85,BR,1609710093,93,-4.04,-44.48,24.3,1.88
musoma,75,TZ,1609710313,88,-1.5,33.8,22.0,1.62
norman wells,75,CA,1609709975,75,65.28,-126.83,-26.0,3.1
sale,20,MA,1609710034,87,34.04,-6.82,10.0,3.5
barrow,90,US,1609709967,77,71.29,-156.79,-19.0,3.1
puerto ayora,40,EC,1609709975,61,-0.74,-90.35,28.0,6.7
broome,90,US,1609709996,92,42.25,-75.83,0.0,2.1
klaksvik,91,FO,1609709982,100,62.23,-6.59,6.0,5.7
mahebourg,40,MU,1609709979,78,-20.41,57.7,25.0,5.1
yulara,0,AU,1609710010,56,-25.24,130.99,21.0,5.1
busselton,0,AU,1609709967,79,-33.65,115.33,14.44,1.79
saldanha,0,ZA,1609709982,57,-33.01,17.94,24.0,1.5
tual,90,ID,1609710314,76,-5.67,132.75,29.22,5.04
nanortalik,94,GL,1609709995,93,60.14,-45.24,-4.55,1.6
matara,96,LK,1609709994,84,5.95,80.54,25.06,4.95
saint anthony,1,US,1609709968,64,45.02,-93.22,2.0,4.1
port alfred,18,ZA,1609709968,93,-33.59,26.89,22.78,1.71
zemio,26,CF,1609710314,62,5.03,25.14,21.71,0.1
avarua,13,CK,1609709971,74,-21.21,-159.78,29.0,8.7
mataura,100,NZ,1609709968,80,-46.19,168.86,14.44,3.58
bertoua,0,CM,1609710314,36,4.58,13.68,22.09,0.79
falun,0,SE,1609709988,79,60.6,15.63,-3.0,2.6
cayenne,75,GF,1609709745,74,4.93,-52.33,28.0,2.6
christchurch,2,NZ,1609709755,45,-43.53,172.63,21.67,2.6
atuona,16,PF,1609709967,67,-9.8,-139.03,25.94,6.88
plast,100,RU,1609710315,95,54.37,60.81,-15.63,4.23
chokurdakh,92,RU,1609709973,87,70.63,147.92,-31.52,2.78
ilulissat,100,GL,1609709980,73,69.22,-51.1,-6.0,2.6
boda,77,CF,1609710316,73,4.32,17.47,22.32,1.48
saint-philippe,0,RE,1609709983,69,-21.36,55.77,24.0,3.6
borskoye,93,RU,1609710316,97,53.03,51.72,-8.94,2.37
ancud,0,CL,1609709757,55,-41.87,-73.82,16.0,5.1
bethlehem,40,BR,1609710041,94,-1.46,-48.5,25.0,2.87
pisco,0,PE,1609709968,78,-13.7,-76.22,23.0,10.8
lavrentiya,85,RU,1609710316,90,65.58,-171.0,-21.12,6.77
maebaru,75,JP,1609710316,67,33.55,130.2,0.56,1.5
hay river,94,CA,1609710317,76,60.82,-115.8,-21.0,3.6
santa fe,87,AR,1609710159,29,-31.63,-60.7,33.33,0.89
marawi,23,PH,1609710317,88,8.0,124.29,22.78,2.24
port elizabeth,2,ZA,1609709974,94,-33.92,25.57,22.0,2.6
codrington,97,AU,1609709983,81,-38.27,141.97,14.83,7.87
mandalgovi,0,MN,1609710005,85,45.76,106.27,-27.59,4.42
bethel,90,US,1609709929,94,41.37,-73.41,0.56,3.6
butaritari,1,KI,1609709974,81,3.07,172.79,27.74,9.33
dordrecht,100,NL,1609710317,87,51.81,4.67,3.89,2.68
ponta do sol,75,PT,1609709980,67,32.67,-17.1,17.0,5.1
omsukchan,100,RU,1609709983,80,62.53,155.8,-33.5,2.32
aromashevo,100,RU,1609710318,86,56.86,68.64,-26.77,4.89
pionerskiy,90,RU,1609710318,92,54.95,20.23,-1.0,7.0
zhezkazgan,30,KZ,1609709980,86,47.8,67.71,-23.4,4.81
beckley,90,US,1609710029,86,37.78,-81.19,3.33,5.1
nelson bay,100,AU,1609709988,94,-32.72,152.15,21.67,3.6
kalmunai,100,LK,1609710318,86,7.42,81.82,25.98,5.79
mangrol,0,IN,1609710318,50,21.12,70.12,16.59,5.63
tautira,75,PF,1609709977,58,-17.73,-149.15,30.0,9.3
melo,0,UY,1609710318,64,-32.37,-54.18,23.35,6.75
avera,1,US,1609709971,54,33.19,-82.53,13.0,4.6
vaini,75,TO,1609709972,88,-21.2,-175.2,27.0,4.6
kandrian,100,PG,1609709981,78,-6.22,149.55,27.68,1.95
puri,2,IN,1609709994,93,19.8,85.85,16.0,2.78
tazovskiy,33,RU,1609710006,88,67.47,78.7,-28.5,4.31
qujing,95,CN,1609710318,88,25.48,103.78,3.33,1.94
launceston,90,AU,1609710318,93,-41.45,147.17,13.33,6.7
tarakan,75,ID,1609710205,100,3.3,117.63,23.0,4.1
tuktoyaktuk,20,CA,1609709977,76,69.45,-133.04,-24.0,5.1
hokitika,61,NZ,1609710319,77,-42.72,170.97,15.72,2.46
hilo,1,US,1609709671,57,19.73,-155.09,27.0,2.1
ribeira grande,75,PT,1609709984,93,38.52,-28.7,17.0,15.9
aloleng,22,PH,1609710319,74,16.13,119.78,26.21,3.85
